token,idade,genero,raca_cor_etnia,pcd,uf_onde_mora,vive_no_brasil,pais_onde_mora,nivel_de_ensino,area_de_formacao,situacao_de_trabalho,setor,cargo_atual,nivel_profissional,faixa_salarial,tempo_experiencia_dados,modelo_trabalho_atual,modelo_trabalho_ideal
reb94rv0msth7q4nreb94riaq80iz3yi,18,Masculino,Branca,Não,RS,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Marketing,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
1zc66g69jjt49y32l1zc66g8wqj79m4e,18,Masculino,Branca,Não,SC,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Finanças ou Bancos,Analista de BI/BI Analyst,Júnior,Menos de R$ 1.000/mês,Menos de 1 ano,Modelo 100% presencial,Modelo 100% presencial
uu99wmam4n5kc2uu99wmydf0rk7l58f7,18,Masculino,Parda,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empregado (CLT),Indústria,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Modelo 100% presencial,Modelo híbrido com dias fixos de trabalho presencial
3ynsw7z0hl5hhpbfvaeqk73ynsw7z04l,18,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Analista de Dados/Data Analyst,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
v6bji2ct5xckpl1uouv6bjiotkrf3b4f,18,Masculino,Branca,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Estagiário,Tecnologia/Fábrica de Software,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Menos de 1 ano,Modelo 100% remoto,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
jct4toasj61rygexnyug3zjct4toascu,18,Masculino,Parda,Não,DF,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Somente Estudante (graduação),Não informado,Estudante,Não informado,Não informado,Não informado,Não informado,Não informado
vcvc4otfqznwludyp3mvcvc8euvs299t,18,Masculino,Parda,Sim,SP,True,Brasil,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,Empregado (CLT),Telecomunicação,Analista de BI/BI Analyst,Júnior,de R$ 6.001/mês a R$ 8.000/mês,de 5 a 6 anos,Modelo 100% presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
7o0jgas7pedzh1dr17o0jgzt0irkbqo6,18,Masculino,Parda,Não,SP,True,Brasil,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,Estagiário,Outra Opção,Outra Opção,Júnior,de R$ 1.001/mês a R$ 2.000/mês,Não tenho experiência na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido com dias fixos de trabalho presencial
gmkbjmsg8fzfqljgmkbjmkr5zfkex28o,18,Masculino,Parda,Não,MA,True,Brasil,Não tenho graduação formal,Sem graduação formal,Estagiário,Outra Opção,Outra Opção,Júnior,Menos de R$ 1.000/mês,Não tenho experiência na área de dados,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente),Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
vwsjeyi7044yittt3zdwvwsjefc53s6y,18,Masculino,Parda,Não,SP,True,Brasil,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Empreendedor ou Empregado (CNPJ),Tecnologia/Fábrica de Software,Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas,Pleno,de R$ 3.001/mês a R$ 4.000/mês,Não tenho experiência na área de dados,Modelo híbrido com dias fixos de trabalho presencial,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
